PP 825 WH OPRAWA HALOGENOWA PAR16 MR16,"https://www.pp-design.pl/image,offer,652,835,1000,750,0.jpg",48.00 PLN,Oprawy halogenowe,"MATERIAŁ:Aluminium,KOLOR:Biały,WYMIARY:śr.93mm,OTWÓR MONTAŻOWY:śr.80mm,NAPIĘCIE ZASILANIA:230V50Hz,12V50Hz,TRZONEK:GU10(opcjonalnie-zadopłatą),GU5,3(gniazdowkomplecie),ŻARÓWKA:Halogen230Vlub12V1x50W,LED230Vlub12V(brakwkomplecie)"
PP 826/1 WH OPRAWA HALOGENOWA PAR16 MR16,"https://www.pp-design.pl/image,offer,650,824,1000,750,0.jpg",48.00 PLN,Oprawy halogenowe,"MATERIAŁ:Aluminium,KOLOR:Biały,WYMIARY:93x93mm,OTWÓR MONTAŻOWY:śr.80mm,NAPIĘCIE ZASILANIA:230V50Hz,12V50Hz,TRZONEK:GU10(opcjonalnie-zadopłatą),GU5,3(gniazdowkomplecie),ŻARÓWKA:Halogen230Vlub12V1x50W,LED230Vlub12V(brakwkomplecie)"
PP 826/2 WH OPRAWA HALOGENOWA PAR16 MR16,"https://www.pp-design.pl/image,offer,651,825,1000,750,0.jpg",96.00 PLN,Oprawy halogenowe,"MATERIAŁ:Aluminium,KOLOR:Biały,WYMIARY:175x93mm,OTWÓR MONTAŻOWY:160x80mm,NAPIĘCIE ZASILANIA:230V50Hz,12V50Hz,TRZONEK:GU10(opcjonalnie-zadopłatą),GU5,3(gniazdowkomplecie),ŻARÓWKA:Halogen230Vlub12V2x50W,LED230Vlub12V(brakwkomplecie)"
PP 825 BK OPRAWA HALOGENOWA PAR16 MR16,"https://www.pp-design.pl/image,offer,681,1061,1000,750,0.png",48.00 PLN,Oprawy halogenowe,"MATERIAŁ:Aluminium,KOLOR:Czarny,WYMIARY:śr.93mm,OTWÓR MONTAŻOWY:śr.80mm,NAPIĘCIE ZASILANIA:230V50Hz,12V50Hz,TRZONEK:GU10(opcjonalnie-zadopłatą),GU5,3(gniazdowkomplecie),ŻARÓWKA:Halogen230Vlub12V1x50W,LED230Vlub12V(brakwkomplecie)"
PP 826/1 BK OPRAWA HALOGENOWA PAR16 MR16,"https://www.pp-design.pl/image,offer,679,1059,1000,750,0.png",48.00 PLN,Oprawy halogenowe,"MATERIAŁ:Aluminium,KOLOR:Czarny,WYMIARY:93x93mm,OTWÓR MONTAŻOWY:śr.80mm,NAPIĘCIE ZASILANIA:230V50Hz,12V50Hz,TRZONEK:GU10(opcjonalnie-zadopłatą),GU5,3(gniazdowkomplecie),ŻARÓWKA:Halogen230Vlub12V1x50W,LED230Vlub12V(brakwkomplecie)"
PP 826/2 BK OPRAWA HALOGENOWA PAR16 MR16,"https://www.pp-design.pl/image,offer,680,1060,1000,750,0.png",96.00 PLN,Oprawy halogenowe,"MATERIAŁ:Aluminium,KOLOR:Czarny,WYMIARY:175x93mm,OTWÓR MONTAŻOWY:160x80mm,NAPIĘCIE ZASILANIA:230V50Hz,12V50Hz,TRZONEK:GU10(opcjonalnie-zadopłatą),GU5,3(gniazdowkomplecie),ŻARÓWKA:Halogen230Vlub12V2x50W,LED230Vlub12V(brakwkomplecie)"
PP 710/1 WH OPRAWA HALOGENOWA PAR16 MR16,"https://www.pp-design.pl/image,offer,675,1023,1000,750,0.jpg",48.00 PLN,Oprawy halogenowe,"MATERIAŁ:Aluminium,KOLOR:Biały,WYMIARY:92x92mm,OTWÓR MONTAŻOWY:śr.80mm,NAPIĘCIE ZASILANIA:230V50Hz,12V50Hz,TRZONEK:GU10230V(opcjonalnie),GU5,312V(gniazdowkomplecie),ŹRÓDŁO ŚWIATŁA:Halogen230Vlub12V1x50W,LED230Vlub12V(brakwkomplecie),STOPIEŃ SZCZELNOŚCI:IP20"
PP 710/2 WH OPRAWA HALOGENOWA PAR16 MR16,"https://www.pp-design.pl/image,offer,676,1026,1000,750,0.jpg",96.00 PLN,Oprawy halogenowe,"MATERIAŁ:Aluminium,KOLOR:Biały,WYMIARY:175x92mm,OTWÓR MONTAŻOWY:śr.160x80mm,NAPIĘCIE ZASILANIA:230V50Hz,12V50Hz,TRZONEK:GU10230V(opcjonalnie),GU5,312V(gniazdowkomplecie),ŹRÓDŁO ŚWIATŁA:Halogen230Vlub12V2x50W,LED230Vlub12V(brakwkomplecie),STOPIEŃ SZCZELNOŚCI:IP20"
PP 106 BK OPRAWA HALOGENOWA,"https://www.pp-design.pl/image,offer,649,823,1000,750,0.jpg",48.00 PLN,Oprawy halogenowe,"MATERIAŁ:Aluminium,KOLOR:Czarny,WYMIARY:82x82mm,OTWÓR MONTAŻOWY:70x70mm,NAPIĘCIE ZASILANIA:230V50Hz,12V50Hz,TRZONEK:GU10230V(opcjonalnie-zadopłatą),GU5,312V(gniazdowkomplecie),ŹRÓDŁO ŚWIATŁA:Halogen230Vlub12V1x50W,LED230Vlub12V(brakwkomplecie),STOPIEŃ SZCZELNOŚCI:IP20"
PP 106 WH OPRAWA HALOGENOWA,"https://www.pp-design.pl/image,offer,648,822,1000,750,0.jpg",48.00 PLN,Oprawy halogenowe,"MATERIAŁ:Aluminium,KOLOR:Biały,WYMIARY:82x82mm,OTWÓR MONTAŻOWY:70x70mm,NAPIĘCIE ZASILANIA:230V50Hz,12V50Hz,TRZONEK:GU10230V(opcjonalnie-zadopłatą),GU5,312V(gniazdowkomplecie),ŹRÓDŁO ŚWIATŁA:Halogen230Vlub12V1x50W,LED230Vlub12V(brakwkomplecie),STOPIEŃ SZCZELNOŚCI:IP20"
PP 103 BK OPRAWA HALOGENOWA,"https://www.pp-design.pl/image,offer,647,821,1000,750,0.jpg",48.00 PLN,Oprawy halogenowe,"MATERIAŁ:Aluminium,KOLOR:Biały,WYMIARY:śr.82mm,OTWÓR MONTAŻOWY:śr.70mm,NAPIĘCIE ZASILANIA:230V50Hz,12V50Hz,TRZONEK:GU10230V(opcjonalnie-zadopłatą),GU5,312V(gniazdowkomplecie),ŹRÓDŁO ŚWIATŁA:Halogen230Vlub12V1x50W,LED230Vlub12V(brakwkomplecie),STOPIEŃ SZCZELNOŚCI:IP20"
